LSOA11Code,LikelihoodHousingHazard,LikelihoodHousingDisrepair
W01000090,0.092,0.015
W01000091,0.069,0.011000000000000001
W01000092,0.213,0.052000000000000005
W01000093,0.212,0.045
W01000094,0.295,0.036000000000000004
W01000095,0.23,0.034
W01000096,0.18600000000000003,0.039
W01000097,0.23399999999999999,0.052000000000000005
W01000098,0.14400000000000002,0.024
W01000099,0.278,0.036000000000000004
W01000100,0.22699999999999998,0.039
W01000101,0.22,0.04
W01000102,0.124,0.026000000000000002
W01000103,0.163,0.02
W01000104,0.237,0.049
W01000107,0.301,0.046
W01000105,0.226,0.046
W01000106,0.188,0.034
W01000108,0.23600000000000002,0.048
W01000109,0.154,0.032
W01000110,0.096,0.011000000000000001
W01000111,0.259,0.055999999999999994
W01000112,0.35200000000000004,0.051
W01000113,0.275,0.053
W01000114,0.314,0.037000000000000005
W01000115,0.305,0.047
W01000116,0.14300000000000002,0.028999999999999998
W01000117,0.19,0.043
W01000118,0.32899999999999996,0.047
W01000119,0.235,0.047
W01001927,0.064,0.01
W01001928,0.107,0.018000000000000002
W01000122,0.32899999999999996,0.046
W01000121,0.40399999999999997,0.064
W01000123,0.21,0.040999999999999995
W01000124,0.27399999999999997,0.042
W01000125,0.149,0.033
W01000126,0.203,0.043
W01000127,0.111,0.02
W01000128,0.16399999999999998,0.038
W01000129,0.10099999999999999,0.021
W01000130,0.212,0.040999999999999995
W01000131,0.10400000000000001,0.016
W01000132,0.21600000000000003,0.048
W01000133,0.111,0.022000000000000002
W01000134,0.12300000000000001,0.03
W01000135,0.094,0.016
W01000136,0.157,0.033
W01000137,0.384,0.053
W01000138,0.121,0.021
W01000139,0.185,0.043
W01000140,0.18100000000000002,0.038
W01000141,0.07400000000000001,0.005
W01000142,0.054000000000000006,0.005
W01000143,0.29600000000000004,0.062
W01000144,0.26899999999999996,0.057999999999999996
W01000145,0.133,0.021
W01000146,0.345,0.066
W01000147,0.141,0.027000000000000003
W01000148,0.179,0.039
W01000149,0.121,0.026000000000000002
W01000150,0.039,0.003
W01000151,0.069,0.006
W01000152,0.07200000000000001,0.011000000000000001
W01000153,0.179,0.03
W01000154,0.131,0.024
W01000155,0.18600000000000003,0.044000000000000004
W01000156,0.11,0.024
W01000157,0.139,0.033
W01000158,0.129,0.023
W01000159,0.408,0.057
W01001926,0.179,0.03
W01000162,0.34700000000000003,0.046
W01000163,0.218,0.03
W01000164,0.182,0.016
W01000165,0.134,0.031
W01000166,0.158,0.027999999999999997
W01000167,0.155,0.028999999999999998
W01000168,0.177,0.036000000000000004
W01000169,0.23199999999999998,0.047
W01000170,0.198,0.042
W01000171,0.152,0.035
W01000172,0.26,0.061
W01000173,0.21600000000000003,0.038
W01000174,0.142,0.026000000000000002
W01000175,0.113,0.016
W01000176,0.188,0.044000000000000004
W01000177,0.145,0.022000000000000002
W01000178,0.131,0.027000000000000003
W01000179,0.126,0.013000000000000001
W01000180,0.102,0.019
W01000181,0.07200000000000001,0.005
W01000182,0.23399999999999999,0.053
W01000183,0.25,0.05
W01000184,0.09699999999999999,0.015
W01000185,0.253,0.045
W01000186,0.102,0.022000000000000002
W01000187,0.075,0.009000000000000001
W01000188,0.094,0.016
W01000189,0.44299999999999995,0.067
W01000190,0.375,0.053
W01000191,0.11599999999999999,0.019
W01000192,0.42200000000000004,0.046
W01000193,0.276,0.045
W01000194,0.284,0.06
W01000195,0.102,0.018000000000000002
W01000196,0.163,0.026000000000000002
W01000197,0.139,0.026000000000000002
W01000198,0.077,0.011000000000000001
W01000199,0.254,0.037000000000000005
W01000200,0.34700000000000003,0.043
W01000201,0.14800000000000002,0.021
W01000202,0.499,0.045
W01000203,0.319,0.031
W01000204,0.316,0.038
